name,state,pop
Shasta College,CA,7096.0
Sierra College,CA,17296.0
Sierra College of Beauty,CA,173.0
Sierra Valley College of Court Reporting,CA,111.0
Trinity Law School,CA,
Simpson University,CA,1065.0
College of the Siskiyous,CA,1772.0
Charles A Jones Career and Education Center,CA,695.0
Skyline College,CA,8690.0
San Bernardino Valley College,CA,11590.0
Saint Mary's College of California,CA,2949.0
Solano Community College,CA,8450.0
Sonoma State University,CA,8441.0
Pinnacle College,CA,174.0
South Baylo University,CA,107.0
South Coast College,CA,342.0
Vanguard University of Southern California,CA,1941.0
Concorde Career College-Garden Grove,CA,974.0
Southwestern College,CA,17057.0
Starr King School for the Ministry,CA,
Marshall B Ketchum University,CA,
Southern California Institute of Architecture,CA,263.0
University of Southern California,CA,18392.0
Southwestern Law School,CA,
Taft College,CA,4830.0
Claremont School of Theology,CA,
Thomas Aquinas College,CA,378.0
Marinello Schools of Beauty-Lake Forest,CA,496.0
Epic Bible College,CA,208.0
United Education Institute-Huntington Park Campus,CA,3564.0
Concorde Career College-San Bernardino,CA,668.0
Universal College of Beauty Inc-Los Angeles 1,CA,28.0
Concorde Career College-North Hollywood,CA,620.0
Ventura College,CA,11763.0
Victor Valley Beauty College Inc,CA,97.0
Victor Valley College,CA,9811.0
Berkeley City College,CA,5917.0
Walden University,MN,8658.0
Waynes College of Beauty,CA,34.0
West Hills College-Coalinga,CA,2534.0
West Los Angeles College,CA,9292.0
West Valley College,CA,7736.0
Carrington College-Sacramento,CA,1385.0
Westminster Theological Seminary in California,CA,
Westmont College,CA,1297.0
Whittier College,CA,1624.0
Woodbury University,CA,1331.0
The Wright Institute,CA,
Western State College of Law at Argosy University,CA,
Thomas Jefferson School of Law,CA,
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA,163.0
Yuba College,CA,6062.0
The Salon Professional Academy-Grand Junction,CO,75.0
Adams State University,CO,2110.0
Aims Community College,CO,3683.0
Arapahoe Community College,CO,8627.0
Bel-Rea Institute of Animal Technology,CO,489.0
Everest College-Colorado Springs,CO,330.0
University of Colorado Denver/Anschutz Medical Campus,CO,10786.0
University of Colorado Colorado Springs,CO,9310.0
Redstone College,CO,552.0
University of Colorado Boulder,CO,25873.0
Colorado Christian University,CO,3657.0
Colorado College,CO,2036.0
Concorde Career College-Aurora,CO,761.0
The Art Institute of Colorado,CO,1414.0
Colorado Mountain College,CO,3558.0
Colorado Northwestern Community College,CO,670.0
Colorado School of Mines,CO,4383.0
Colorado School of Trades,CO,196.0
Colorado State University-Fort Collins,CO,22373.0
Colorado Technical University-Colorado Springs,CO,1139.0
